price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state
3499,2008.0,10,2,5,2,229779.0,0,0,1,5,8,16
32500,2011.0,7,0,6,2,29000.0,0,0,2,2,10,17
3900,2015.0,29,0,2,2,104644.0,0,0,1,4,9,43
6950,2015.0,17,2,3,2,81171.0,0,0,1,9,9,42
9500,2002.0,13,2,5,2,126000.0,0,1,2,2,0,18
8299,2017.0,12,0,3,1,10968.0,0,0,1,3,5,4
10500,2013.0,21,0,3,2,67700.0,1,0,1,12,9,35
6995,2013.0,24,3,6,2,89112.0,0,0,2,3,11,16
4400,2007.0,31,0,5,2,167000.0,0,0,1,9,5,15
20000,2008.0,20,0,5,2,99000.0,0,1,0,0,8,5
5499,2007.0,39,0,3,2,112000.0,0,0,1,9,5,34
42990,2014.0,7,2,6,2,15752.0,0,2,2,3,0,4
4000,2013.0,13,2,3,2,111000.0,5,0,1,9,0,4
10000,2007.0,7,0,6,2,255262.0,0,0,0,10,10,48
2395,1995.0,13,2,6,2,101000.0,0,0,2,3,1,37
19230,2017.0,40,0,3,2,25131.0,0,0,1,9,10,12
5490,2009.0,13,0,3,2,152438.0,0,0,1,3,0,14
9500,2012.0,20,0,5,2,99100.0,0,0,0,0,0,31
6988,2006.0,10,2,6,2,196008.0,0,0,2,8,9,4
5500,2008.0,8,0,5,2,125.0,1,0,1,5,9,0
3400,2000.0,3,0,3,2,160000.0,0,1,0,3,5,9
4995,2012.0,7,0,3,2,155000.0,0,0,1,9,2,19
16990,2013.0,7,2,5,4,62353.0,0,0,2,3,8,35
25990,2019.0,31,2,5,2,22343.0,0,2,1,8,9,9
26900,2017.0,20,0,5,2,38000.0,0,0,0,0,0,34
20000,2012.0,4,0,5,2,86700.0,0,0,2,9,10,27
3950,2004.0,32,2,5,2,117000.0,0,0,1,9,3,35
13200,1985.0,7,3,6,2,111000.0,0,0,2,3,8,45
7500,2008.0,7,2,6,2,196872.0,0,0,2,0,9,36
44500,2017.0,10,3,6,2,19000.0,0,0,2,9,4,36
9900,2013.0,37,2,3,2,93000.0,0,0,0,12,1,29
2600,1995.0,13,2,6,2,180000.0,0,0,0,8,0,35
10997,2015.0,39,0,3,2,114586.0,0,0,1,9,10,36
2500,2001.0,7,2,6,2,242020.0,0,0,2,0,10,4
7995,2013.0,13,0,3,2,123100.0,0,0,1,9,9,42
1700,2008.0,32,1,3,2,185000.0,0,0,1,3,9,23
13300,2013.0,16,0,5,2,83000.0,4,0,0,10,0,9
11995,2017.0,17,0,3,2,39640.0,0,0,1,9,8,4
29990,2016.0,13,2,6,2,39712.0,0,0,2,3,10,27
3699,2008.0,13,2,2,2,93000.0,0,0,2,2,9,45
22990,2015.0,7,2,5,2,25493.0,0,0,2,2,0,17
11950,2018.0,31,0,3,2,137840.0,0,0,1,11,10,24
14900,2005.0,7,0,6,2,96000.0,0,0,0,0,8,12
27987,2017.0,34,0,6,2,39479.0,0,0,0,8,8,22
34990,2011.0,13,2,5,0,84317.0,0,0,2,10,11,49
21500,2015.0,16,0,5,2,34000.0,0,0,1,5,0,46
10999,2006.0,7,2,6,2,152764.0,0,1,0,10,10,38
20995,2018.0,40,0,3,2,8798.0,0,0,0,0,0,22
3800,2007.0,7,2,5,2,161962.0,0,0,1,4,1,49
10800,2015.0,16,0,3,2,48111.0,4,0,1,9,1,38
12995,2012.0,14,0,6,2,83000.0,0,0,2,11,9,21
6595,2006.0,39,0,5,2,153561.0,0,0,1,9,9,4
1800,2000.0,16,2,3,2,175000.0,0,0,1,9,4,36
18900,2018.0,7,3,3,2,13000.0,0,0,2,9,8,24
1500,2011.0,37,2,3,2,157000.0,0,0,0,0,10,24
7000,2007.0,14,2,4,2,159000.0,0,0,0,8,8,34
13899,2012.0,20,0,5,2,71148.0,0,0,0,0,0,34
7995,2014.0,13,2,3,2,91700.0,0,0,1,9,8,4
2500,2005.0,31,2,5,2,174000.0,0,0,1,9,9,27
18995,2006.0,20,2,5,2,92487.0,0,0,0,0,4,40
12695,2014.0,13,0,5,2,106186.0,0,0,0,9,0,48
9250,2013.0,25,3,5,2,107865.0,0,0,2,0,8,33
29950,2018.0,14,0,6,2,100450.0,0,0,0,10,10,4
16500,2016.0,16,0,3,2,48900.0,0,0,1,9,9,15
3500,2009.0,17,2,3,2,183000.0,0,0,1,9,5,38
16999,2003.0,13,0,5,2,149188.0,0,1,2,3,1,4
